id;lfd. Nr.;;Zu- und Vorname;;;Geburtstag, Geburtsort;;;;letztes Amt vor Eintritt beim BGH;;;Eintritt, Bun-desrichter;;;Senatspräs., Vorsitzender;;;Vizepräsident;;;Präsident;;;Austritt;;;;Tod;;;Anmerkungen, Sonstiges;Duplikate;Wikidata;;;;
0;¶;#;akad. Grad;Nachname;Vorname;T;M;J;Ort;Amt;in;Sonstiges;T;M;J;T;M;J;T;M;J;T;M;J;T;M;J;Grund;T;M;J;;;QID;Label;Beschreibung;Geburtsdatum;Beruf
105;C;1;Dr.;Heidenhain;Martin;22;12;1880;Marienwerder;Senatspräsident ;Frankfurt/Main;"1933-1943 Reichsgerichtsrat; beim OLG lt. NJW 1950, 777";2;10;1950;;;;;;;;;;31;12;1952;Ruhestand;9;10;1957;lt. Wikipedia Todesjahr 1954;;;;;;
106;C;2;Dr.;Selowsky;Richard Karl;16;2;1889;Dresden;Ministerialrat;Freiburg, Br.;bei der Bad. Staatskanzlei lt. NJW 1950, 777;2;10;1950;;;;;;;;;;28;2;1957;Ruhestand;6;7;1960;;;;;;;
107;C;3;Dr.;von Normann;Alexander;22;1;1893;Stallupönen;Landgerichtsdirektor;Hechingen;;2;10;1950;;;;;;;;;;31;12;1955;Ruhestand;17;11;1983;;;;;;;
108;C;4;Prof. Dr.;Busch;Richard;17;12;1893;Dresden;Oberlandesgerichtsrat;Düsseldorf;;2;10;1950;;;;;;;;;;31;12;1961;Ruhestand;15;4;1979;;;;;;;
109;C;5;Dr.;Heck;Karl;18;11;1896;Halle/Saale;Landgerichtspräsident;Tübingen;;2;10;1950;;;;;;;;;;2;4;1954;Sonstige;;;1997;Austrittsgrund: Richter des Bundesverfassungsgerichts in Karlsruhe;;;;;;
110;C;6;Dr.;Hülle;Werner;30;4;1903;Stettin;Senatspräsident ;Oldenburg;beim OLG lt. NJW 1950, 777;2;10;1950;;;;;;;;;;26;1;1955;Sonstige;;;1992;Austrittsgrund: Oberlandesgerichtspräsident in Oldenburg (bis 30.04.1968);;;;;;
111;C;9;;Wolfhart;Werner;26;8;1903;Neuwerbig;Richter beim Obersten Gerichtshof für die Britische Zone;Köln;;2;10;1950;;;;;;;;;;;;;Tod;28;2;1961;;;;;;;
112;C;11;Prof. Dr. Dr. h.c.;Lindenmaier;Fritz;2;10;1881;Hamburg;Oberlandesgerichtsrat bis 31.10.1949;Hamburg;1926 Reichsgerichtsrat, 1937-1945 Senatspräsident beim Reichsgericht;22;10;1950;;;;;;;;;;31;12;1953;Ruhestand;7;10;1960;;;;;;;
113;C;12;Dr.;Birnbach;Werner;20;11;1890;Berlin;Oberlandesgerichtsrat;München;;24;10;1950;;;;;;;;;;30;11;1958;Ruhestand;9;1;1975;;;;;;;
114;C;13;Dr.;Delbrück;Helmuth;4;11;1891;Stettin;Richter beim Obersten Gerichtshof für die Britische Zone;Köln;;24;10;1950;;;;;;;;;;;;;Tod;6;4;1957;;;;;;;
